SN2021jad_racs.fits Mean Flux: 0.932 mJy/beam
SN2021jad_racs.fits Median Flux: 0.185 mJy/beam
SN2021jad_racs.fits Max Flux: 31.227 mJy/beam
SN2021jad_racs.fits Min Flux: -1.379 mJy/beam
SN2021jad_racs.fits SNR: 9.409
SN2021jad_racs.fits Observation Date: 2020-10-17T07:12:30
SN1995ad_racs.fits Mean Flux: 1.212 mJy/beam
SN1995ad_racs.fits Median Flux: 0.166 mJy/beam
SN1995ad_racs.fits Max Flux: 19.812 mJy/beam
SN1995ad_racs.fits Min Flux: -1.063 mJy/beam
SN1995ad_racs.fits SNR: 6.233
SN1995ad_racs.fits Observation Date: 2020-10-17T07:12:30
SN2020tjd_racs.fits Mean Flux: -0.044 mJy/beam
SN2020tjd_racs.fits Median Flux: -0.058 mJy/beam
SN2020tjd_racs.fits Max Flux: 1.135 mJy/beam
SN2020tjd_racs.fits Min Flux: -0.787 mJy/beam
SN2020tjd_racs.fits SNR: 3.988
SN2020tjd_racs.fits Observation Date: 2020-10-17T07:12:30
SN2016gsb_racs.fits Mean Flux: -0.138 mJy/beam
SN2016gsb_racs.fits Median Flux: -0.244 mJy/beam
SN2016gsb_racs.fits Max Flux: 3.314 mJy/beam
SN2016gsb_racs.fits Min Flux: -2.342 mJy/beam
SN2016gsb_racs.fits SNR: 4.164
SN2016gsb_racs.fits Observation Date: 2020-10-17T07:12:30

SN2023mkt_racs.fits Mean Flux: 0.026 mJy/beam
SN2023mkt_racs.fits Median Flux: 0.028 mJy/beam
SN2023mkt_racs.fits Max Flux: 1.310 mJy/beam
SN2023mkt_racs.fits Min Flux: -1.334 mJy/beam
SN2023mkt_racs.fits SNR: 2.751
SN2023mkt_racs.fits Observation Date: 2020-10-16T22:39:52
SN2020fsb_racs.fits Mean Flux: 0.141 mJy/beam
SN2020fsb_racs.fits Median Flux: 0.003 mJy/beam
SN2020fsb_racs.fits Max Flux: 7.097 mJy/beam
SN2020fsb_racs.fits Min Flux: -0.738 mJy/beam
SN2020fsb_racs.fits SNR: 9.124
SN2020fsb_racs.fits Observation Date: 2020-10-16T22:39:52

SN2023dtc_racs.fits Mean Flux: 0.615 mJy/beam
SN2023dtc_racs.fits Median Flux: 0.081 mJy/beam
SN2023dtc_racs.fits Max Flux: 6.752 mJy/beam
SN2023dtc_racs.fits Min Flux: -0.805 mJy/beam
SN2023dtc_racs.fits SNR: 4.944
SN2023dtc_racs.fits Observation Date: 2020-10-16T18:21:36

SN2021uha_racs.fits Mean Flux: 0.085 mJy/beam
SN2021uha_racs.fits Median Flux: -0.017 mJy/beam
SN2021uha_racs.fits Max Flux: 5.031 mJy/beam
SN2021uha_racs.fits Min Flux: -0.768 mJy/beam
SN2021uha_racs.fits SNR: 9.394
SN2021uha_racs.fits Observation Date: 2020-10-16T18:55:29
SN2004be_racs.fits Mean Flux: -0.003 mJy/beam
SN2004be_racs.fits Median Flux: -0.011 mJy/beam
SN2004be_racs.fits Max Flux: 0.629 mJy/beam
SN2004be_racs.fits Min Flux: -0.565 mJy/beam
SN2004be_racs.fits SNR: 3.418
SN2004be_racs.fits Observation Date: 2020-10-16T18:55:29
SN1999gh_racs.fits Mean Flux: 1.732 mJy/beam
SN1999gh_racs.fits Median Flux: 0.081 mJy/beam
SN1999gh_racs.fits Max Flux: 142.304 mJy/beam
SN1999gh_racs.fits Min Flux: -0.772 mJy/beam
SN1999gh_racs.fits SNR: 12.986
SN1999gh_racs.fits Observation Date: 2020-10-16T18:55:29
SN2022crv_racs.fits Mean Flux: 0.134 mJy/beam
SN2022crv_racs.fits Median Flux: 0.053 mJy/beam
SN2022crv_racs.fits Max Flux: 3.189 mJy/beam
SN2022crv_racs.fits Min Flux: -0.893 mJy/beam
SN2022crv_racs.fits SNR: 6.765
SN2022crv_racs.fits Observation Date: 2020-10-16T18:55:29
SN2006T_racs.fits Mean Flux: 0.132 mJy/beam
SN2006T_racs.fits Median Flux: 0.075 mJy/beam
SN2006T_racs.fits Max Flux: 1.736 mJy/beam
SN2006T_racs.fits Min Flux: -0.893 mJy/beam
SN2006T_racs.fits SNR: 4.038
SN2006T_racs.fits Observation Date: 2020-10-16T18:55:29

SN2021mwj_racs.fits Mean Flux: 0.506 mJy/beam
SN2021mwj_racs.fits Median Flux: 0.091 mJy/beam
SN2021mwj_racs.fits Max Flux: 10.884 mJy/beam
SN2021mwj_racs.fits Min Flux: -0.933 mJy/beam
SN2021mwj_racs.fits SNR: 7.786
SN2021mwj_racs.fits Observation Date: 2020-10-16T21:52:25
SN1996Z_racs.fits Mean Flux: 0.511 mJy/beam
SN1996Z_racs.fits Median Flux: 0.109 mJy/beam
SN1996Z_racs.fits Max Flux: 10.884 mJy/beam
SN1996Z_racs.fits Min Flux: -0.933 mJy/beam
SN1996Z_racs.fits SNR: 7.800
SN1996Z_racs.fits Observation Date: 2020-10-16T21:52:25
SN2016gwl_racs.fits Mean Flux: 0.112 mJy/beam
SN2016gwl_racs.fits Median Flux: 0.065 mJy/beam
SN2016gwl_racs.fits Max Flux: 2.955 mJy/beam
SN2016gwl_racs.fits Min Flux: -0.588 mJy/beam
SN2016gwl_racs.fits SNR: 7.680
SN2016gwl_racs.fits Observation Date: 2020-10-16T21:52:25

SN2019vsa_racs.fits Mean Flux: 0.108 mJy/beam
SN2019vsa_racs.fits Median Flux: 0.086 mJy/beam
SN2019vsa_racs.fits Max Flux: 2.070 mJy/beam
SN2019vsa_racs.fits Min Flux: -1.166 mJy/beam
SN2019vsa_racs.fits SNR: 4.291
SN2019vsa_racs.fits Observation Date: 2020-10-16T20:45:49
SN1998bn_racs.fits Mean Flux: 0.027 mJy/beam
SN1998bn_racs.fits Median Flux: 0.026 mJy/beam
SN1998bn_racs.fits Max Flux: 0.945 mJy/beam
SN1998bn_racs.fits Min Flux: -0.755 mJy/beam
SN1998bn_racs.fits SNR: 3.324
SN1998bn_racs.fits Observation Date: 2020-10-16T20:45:49

SN2018pq_racs.fits Mean Flux: 0.064 mJy/beam
SN2018pq_racs.fits Median Flux: 0.045 mJy/beam
SN2018pq_racs.fits Max Flux: 1.078 mJy/beam
SN2018pq_racs.fits Min Flux: -0.727 mJy/beam
SN2018pq_racs.fits SNR: 4.066
SN2018pq_racs.fits Observation Date: 2020-10-16T16:36:51
SN2011ja_racs.fits Mean Flux: 7.144 mJy/beam
SN2011ja_racs.fits Median Flux: 4.468 mJy/beam
SN2011ja_racs.fits Max Flux: 28.891 mJy/beam
SN2011ja_racs.fits Min Flux: -1.022 mJy/beam
